Messung	g2	f1 Hz	f2 Hz	df kHz	R Ohm	uR	T Celsius	dT	V mV	uV	comment
1	5000	300	330	105	11	1,2	21	1	7,7	0,1	R_A (Hintergrund)
4	5000	100	1000	1000	11	1,2	21	1	59	1	R_A (Hintergrund)
7	2000	30	3300	3632	11	1,2	21	1	33,9	0,2	R_A (Hintergrund)
10	2000	30	10000	11075	11	1,2	21	1	99	0,5	R_A (Hintergrund)
13	1000	10	100000	111061	11	1,2	21	1	251	1	R_A (Hintergrund)
2	5000	300	330	105	9970	40	21	1	23,8	0,1	R_B
5	5000	100	1000	1000	9970	40	21	1	203	2	R_B
8	2000	30	3300	3632	9970	40	21	1	118	1	R_B
11	2000	30	10000	11075	9970	40	21	1	355	2	R_B
14	1000	10	100000	111061	9970	40	21	1	795	2	R_B
3	5000	300	330	105	100500	1000	21	1	168	2	R_C
6	2000	100	1000	1000	100500	1000	21	1	243	2	R_C
9	2000	30	3300	3632	100500	1000	21	1	860	5	R_C
12	1000	30	10000	11075	100500	1000	21	1	555	2	R_C
15	500	10	100000	111061	100500	1000	21	1	404	2	R_C
16	500	300	330	105	11,8	2	-195	1	21	0,5	R_A (Hintergrund)
19	4000	100	1000	1000	11,8	2	-195	1	38	1	R_A (Hintergrund)
22	2000	30	3300	3632	11,8	2	-195	1	33,6	0,1	R_A (Hintergrund)
25	1000	30	10000	11075	11,8	2	-195	1	25,5	0,1	R_A (Hintergrund)
28	500	10	100000	111061	11,8	2	-195	1	63,3	1	R_A (Hintergrund)
17	500	300	330	105	9960	10	-195	1	35,1	0,1	R_B
20	4000	100	1000	1000	9960	10	-195	1	62,5	0,5	R_B
23	2000	30	3300	3632	9960	10	-195	1	57	0,5	R_B
26	1000	30	10000	11075	9960	10	-195	1	42,2	0,4	R_B
29	300	10	100000	111061	9960	10	-195	1	37,2	1	R_B
18	500	300	330	105	101000	1000	-195	1	93,2	0,2	R_C
21	2000	100	1000	1000	101000	1000	-195	1	72	1	R_C
24	1000	30	3300	3632	101000	1000	-195	1	64,5	0,7	R_C
27	500	30	10000	11075	101000	1000	-195	1	43,3	0,3	R_C
30	300	10	100000	111061	101000	1000	-195	1	61,4	0,5	R_C